time,temperature_2m,precipitation,soil_moisture_0_to_7cm,wind_gusts_10m,Rolling_72h_Rainfall,Mine_Name,Mine_Type
2025-09-06 00:00:00,24.2,0.0,0.463,11.5,0.0,Dongri Buzurg,Opencast
2025-09-06 01:00:00,23.9,0.0,0.463,7.6,0.0,Dongri Buzurg,Opencast
2025-09-06 02:00:00,23.8,0.0,0.464,6.5,0.0,Dongri Buzurg,Opencast
2025-09-06 03:00:00,23.6,0.0,0.464,6.5,0.0,Dongri Buzurg,Opencast
2025-09-06 04:00:00,23.4,0.0,0.464,5.8,0.0,Dongri Buzurg,Opencast
2025-09-06 05:00:00,23.2,0.0,0.464,7.9,0.0,Dongri Buzurg,Opencast
2025-09-06 06:00:00,24.2,0.0,0.466,15.1,0.0,Dongri Buzurg,Opencast
2025-09-06 07:00:00,25.4,0.0,0.466,15.1,0.0,Dongri Buzurg,Opencast
2025-09-06 08:00:00,26.8,0.1,0.465,22.3,0.1,Dongri Buzurg,Opencast
2025-09-06 09:00:00,27.9,0.1,0.464,27.7,0.2,Dongri Buzurg,Opencast
2025-09-06 10:00:00,28.9,0.2,0.463,28.1,0.4,Dongri Buzurg,Opencast
2025-09-06 11:00:00,29.4,0.2,0.462,30.6,0.6000000000000001,Dongri Buzurg,Opencast
2025-09-06 12:00:00,27.9,1.4,0.474,32.8,2.0,Dongri Buzurg,Opencast
2025-09-06 13:00:00,28.7,0.1,0.472,32.4,2.1,Dongri Buzurg,Opencast
2025-09-06 14:00:00,29.4,0.1,0.47,32.0,2.2,Dongri Buzurg,Opencast
2025-09-06 15:00:00,29.3,0.1,0.469,28.1,2.3,Dongri Buzurg,Opencast
2025-09-06 16:00:00,27.7,0.4,0.47,26.3,2.7,Dongri Buzurg,Opencast
2025-09-06 17:00:00,26.8,0.0,0.47,22.0,2.7,Dongri Buzurg,Opencast
2025-09-06 18:00:00,26.1,0.0,0.452,18.0,2.7,Dongri Buzurg,Opencast
2025-09-06 19:00:00,25.4,0.0,0.452,10.1,2.7,Dongri Buzurg,Opencast
2025-09-06 20:00:00,25.0,0.0,0.452,10.1,2.7,Dongri Buzurg,Opencast
2025-09-06 21:00:00,24.7,0.0,0.452,7.2,2.7,Dongri Buzurg,Opencast
2025-09-06 22:00:00,24.4,0.0,0.452,7.6,2.7,Dongri Buzurg,Opencast
2025-09-06 23:00:00,24.3,0.0,0.453,10.4,2.7,Dongri Buzurg,Opencast
2025-09-07 00:00:00,24.1,0.0,0.453,11.5,2.7,Dongri Buzurg,Opencast
2025-09-07 01:00:00,23.9,0.0,0.453,10.1,2.7,Dongri Buzurg,Opencast
2025-09-07 02:00:00,23.6,0.0,0.453,6.5,2.7,Dongri Buzurg,Opencast
2025-09-07 03:00:00,23.6,0.0,0.453,7.9,2.7,Dongri Buzurg,Opencast
2025-09-07 04:00:00,23.4,0.0,0.453,7.9,2.7,Dongri Buzurg,Opencast
2025-09-07 05:00:00,23.2,0.0,0.454,6.1,2.7,Dongri Buzurg,Opencast
2025-09-07 06:00:00,24.9,0.0,0.44,10.1,2.7,Dongri Buzurg,Opencast
2025-09-07 07:00:00,25.8,0.1,0.441,12.2,2.8000000000000003,Dongri Buzurg,Opencast
2025-09-07 08:00:00,26.4,0.2,0.442,13.7,3.0,Dongri Buzurg,Opencast
2025-09-07 09:00:00,27.4,0.1,0.442,15.1,3.1,Dongri Buzurg,Opencast
2025-09-07 10:00:00,28.4,0.1,0.441,20.2,3.2,Dongri Buzurg,Opencast
2025-09-07 11:00:00,29.0,0.1,0.441,22.0,3.3000000000000003,Dongri Buzurg,Opencast
2025-09-07 12:00:00,29.5,0.1,0.439,23.8,3.4,Dongri Buzurg,Opencast
2025-09-07 13:00:00,30.2,0.1,0.437,26.6,3.5,Dongri Buzurg,Opencast
2025-09-07 14:00:00,29.8,0.0,0.435,26.6,3.5,Dongri Buzurg,Opencast
2025-09-07 15:00:00,29.2,0.5,0.437,26.6,4.0,Dongri Buzurg,Opencast
2025-09-07 16:00:00,28.4,0.6,0.442,24.5,4.6,Dongri Buzurg,Opencast
2025-09-07 17:00:00,25.2,0.8,0.448,26.6,5.4,Dongri Buzurg,Opencast
2025-09-07 18:00:00,26.4,0.0,0.407,20.5,5.4,Dongri Buzurg,Opencast
2025-09-07 19:00:00,25.5,0.0,0.408,15.1,5.4,Dongri Buzurg,Opencast
2025-09-07 20:00:00,25.2,0.0,0.408,11.5,5.4,Dongri Buzurg,Opencast
2025-09-07 21:00:00,25.2,0.0,0.409,10.8,5.4,Dongri Buzurg,Opencast
2025-09-07 22:00:00,24.8,0.0,0.41,11.9,5.4,Dongri Buzurg,Opencast
2025-09-07 23:00:00,24.6,0.0,0.41,11.2,5.4,Dongri Buzurg,Opencast
